task_name,agent_a,agent_b,runs_a,runs_b,success_a,success_b,success_gap,mean_tool_calls_a,mean_tool_calls_b,tool_call_gap,switch_rate_gap,repeat_rate_gap,intent_entropy_gap,process_gap_score
make-doom-for-mips,codex,terminus-3-3,40,10,0.0,0.0,0.0,21.15,77.0,55.85,0.0021,0.1591,0.3955,61.8575
regex-chess,judy,terminus-2,5,191,0.0,0.0471,0.0471,1.6,46.9319,45.3319,0.1735,0.3702,0.54,61.6244
torch-tensor-parallelism,codex,openhands,40,69,0.1,0.029,0.071,0.475,35.2899,34.8149,0.358,0.4692,1.1595,61.2924
sanitize-git-repo,gemini-cli,openhands,20,70,0.15,0.2143,0.0643,10.4,63.7,53.3,0.1717,0.0433,0.5156,61.253
caffe-cifar-10,deepagent-harbor,openhands,5,70,0.0,0.0,0.0,3.4,46.6571,43.2571,0.0686,0.4171,1.1651,61.2251
db-wal-recovery,mini-swe-agent,openhands,75,69,0.0267,0.029,0.0023,25.9733,70.2754,44.3021,0.1472,0.4374,0.461,61.2221
qemu-startup,deepagent-harbor,terminus-3-3,5,10,1.0,0.9,0.1,2.0,50.9,48.9,0.0573,0.3299,0.4648,60.904
mteb-retrieve,mini-swe-agent,openhands,75,69,0.0133,0.029,0.0157,4.84,43.7101,38.8701,0.2211,0.518,0.6594,60.6446
qemu-startup,judy,terminus-3-3,5,10,1.0,0.9,0.1,13.2,50.9,37.7,0.0991,0.5332,1.427,60.6425
mteb-leaderboard,gemini-cli,openhands,20,70,0.1,0.0143,0.0857,6.45,51.0,44.55,0.1518,0.3796,0.5554,60.612
train-fasttext,judy,mini-swe-agent,5,75,0.0,0.0,0.0,15.4,47.0933,31.6933,0.1723,0.7458,1.1219,60.2553
install-windows-3.11,mini-swe-agent,terminus-2,75,194,0.0,0.0052,0.0052,15.5067,69.4639,53.9572,0.0711,0.1408,0.1621,60.0652
caffe-cifar-10,codex,terminus-2,36,203,0.0278,0.0,0.0278,3.4167,47.3251,43.9084,0.1642,0.1664,1.5646,59.9964
winning-avg-corewars,claude-code,terminus-2,35,195,0.1429,0.2,0.0571,121.2,157.0923,35.8923,0.656,0.2363,0.3551,59.9753
mteb-leaderboard,gemini-cli,terminus-2,20,194,0.1,0.0155,0.0845,6.45,53.5979,47.1479,0.2182,0.1183,0.8714,59.9174
gpt2-codegolf,gemini-cli,terminus-3-3,20,10,0.0,0.0,0.0,1.95,36.7,34.75,0.5093,0.1532,1.6983,59.804
sam-cell-seg,codex,terminus-3-3,40,10,0.0,0.0,0.0,1.325,42.1,40.775,0.1097,0.5003,0.745,59.75
fix-code-vulnerability,openhands,terminus-2,70,194,0.4143,0.433,0.0187,83.4,42.9794,40.4206,0.2174,0.4505,0.292,58.5781
dna-insert,codex,openhands,40,69,0.0,0.0145,0.0145,8.8,45.913,37.113,0.1735,0.5998,0.3836,58.3635
merge-diff-arc-agi-task,gemini-cli,openhands,20,69,0.65,0.5942,0.0558,13.35,61.5652,48.2152,0.0027,0.3587,0.2075,58.2877
password-recovery,claude-code,gemini-cli,35,20,0.4857,0.5,0.0143,61.7143,10.3,51.4143,0.0005,0.1879,0.4297,58.2728
caffe-cifar-10,deepagent-harbor,terminus-2,5,203,0.0,0.0,0.0,3.4,47.3251,43.9251,0.2438,0.0917,1.1781,58.2031
mteb-retrieve,codex,openhands,40,69,0.125,0.029,0.096,2.575,43.7101,41.1351,0.0707,0.446,0.8298,58.2016
make-mips-interpreter,mini-swe-agent,terminus-2,75,186,0.0133,0.0215,0.0082,26.2667,79.2527,52.986,0.0283,0.0917,0.3449,57.7105
sam-cell-seg,codex,terminus-2,40,193,0.0,0.0155,0.0155,1.325,45.7979,44.4729,0.0824,0.2337,1.06,57.6754
feal-differential-cryptanalysis,claude-code,codex,35,40,0.2,0.25,0.05,29.1429,1.7,27.4429,0.7043,0.4815,0.0978,57.5769
torch-tensor-parallelism,gemini-cli,openhands,20,69,0.05,0.029,0.021,1.35,35.2899,33.9399,0.1894,0.5263,1.1284,57.4744
sam-cell-seg,codex,deepagent-harbor,40,5,0.0,0.0,0.0,1.325,41.2,39.875,0.3133,0.1888,0.9947,57.401
torch-tensor-parallelism,claude-code,openhands,35,69,0.0286,0.029,0.0004,3.2,35.2899,32.0899,0.5297,0.3877,0.4694,57.3719
winning-avg-corewars,deepagent-harbor,terminus-3-3,5,10,1.0,1.0,0.0,83.6,43.7,39.9,0.3567,0.3095,0.1547,57.3285
build-pmars,mini-swe-agent,openhands,75,70,0.5867,0.5286,0.0581,17.0267,56.0571,39.0304,0.1673,0.5196,0.2127,57.2664
dna-assembly,judy,openhands,5,69,0.0,0.0,0.0,11.6,58.5507,46.9507,0.1942,0.1095,0.5143,57.1147
sam-cell-seg,judy,terminus-2,5,193,0.0,0.0155,0.0155,16.2,45.7979,29.5979,0.3005,0.5765,1.1027,57.0364
filter-js-from-html,deepagent-harbor,openhands,5,70,0.0,0.0,0.0,21.4,55.4286,34.0286,0.404,0.4848,0.1461,56.9791
make-doom-for-mips,claude-code,mini-swe-agent,35,75,0.0,0.0,0.0,79.4571,45.5467,33.9104,0.5593,0.2422,0.595,56.9229
cobol-modernization,gemini-cli,terminus-2,20,203,0.75,0.7734,0.0234,13.25,52.7094,39.4594,0.3219,0.2334,0.7053,56.8684
schemelike-metacircular-eval,mini-swe-agent,terminus-2,75,194,0.12,0.1289,0.0089,51.5067,101.8814,50.3747,0.0705,0.1458,0.2036,56.8002
hf-model-inference,openhands,terminus-2,69,195,0.5217,0.6051,0.0834,62.5362,19.6974,42.8388,0.1044,0.4295,0.1163,56.7678
raman-fitting,gemini-cli,openhands,20,70,0.0,0.0,0.0,5.3,42.5714,37.2714,0.4875,0.2321,0.2874,56.6984
winning-avg-corewars,claude-code,openhands,35,70,0.1429,0.1,0.0429,121.2,166.2143,45.0143,0.3935,0.044,0.0612,56.2578
tune-mjcf,claude-code,codex,35,40,0.4,0.5,0.1,40.4857,8.775,31.7107,0.6272,0.3095,0.2116,56.1862
write-compressor,openhands,terminus-2,70,194,0.0,0.0876,0.0876,78.3714,38.4381,39.9333,0.1892,0.4205,0.1406,55.8788
password-recovery,openhands,terminus-2,69,187,0.2754,0.2888,0.0134,107.7681,62.984,44.7841,0.0421,0.3832,0.08,55.8166
password-recovery,claude-code,codex,35,40,0.4857,0.45,0.0357,61.7143,14.35,47.3643,0.1953,0.0388,0.4935,55.6843
adaptive-rejection-sampler,judy,terminus-2,5,205,0.2,0.2634,0.0634,2.0,34.2098,32.2098,0.2572,0.4614,1.062,55.4848
pytorch-model-cli,claude-code,openhands,35,69,0.3714,0.2754,0.096,15.9714,53.5652,37.5938,0.3364,0.3344,0.2063,55.3953
install-windows-3.11,terminus-2,terminus-3-3,194,10,0.0052,0.0,0.0052,69.4639,117.3,47.8361,0.1257,0.1474,0.1026,55.1766
feal-differential-cryptanalysis,claude-code,openhands,35,70,0.2,0.1286,0.0714,29.1429,67.0714,37.9285,0.3872,0.254,0.2352,55.1345
extract-moves-from-video,mini-swe-agent,openhands,75,70,0.0,0.0286,0.0286,29.4667,65.5857,36.119,0.1669,0.4387,0.7614,55.066
gcode-to-text,gemini-cli,openhands,20,70,0.0,0.0143,0.0143,3.7,29.8286,26.1286,0.5652,0.4505,0.6353,54.6976
install-windows-3.11,claude-code,openhands,35,70,0.0,0.0,0.0,45.2857,83.0571,37.7714,0.2329,0.4141,0.116,54.5264
fix-ocaml-gc,judy,terminus-3-3,5,10,1.0,1.0,0.0,21.0,57.7,36.7,0.3546,0.2005,0.7598,54.3765
overfull-hbox,gemini-cli,mini-swe-agent,20,75,0.3,0.2267,0.0733,36.05,20.6267,15.4233,0.7395,0.8068,0.0515,54.3383
schemelike-metacircular-eval,claude-code,mini-swe-agent,35,75,0.1429,0.12,0.0229,86.8286,51.5067,35.3219,0.4374,0.1985,0.569,54.0644
extract-moves-from-video,claude-code,terminus-2,35,193,0.0,0.0,0.0,15.6571,58.456,42.7989,0.2845,0.1175,0.2083,53.8904
caffe-cifar-10,codex,terminus-3-3,36,10,0.0278,0.0,0.0278,3.4167,41.0,37.5833,0.1704,0.219,1.2824,53.7303
regex-chess,codex,terminus-2,40,191,0.0,0.0471,0.0471,2.275,46.9319,44.6569,0.1003,0.2375,0.0867,53.5354
portfolio-optimization,mini-swe-agent,openhands,75,69,0.5867,0.6667,0.08,16.9867,49.1014,32.1147,0.1904,0.6526,0.0644,53.5117
regex-chess,openhands,terminus-2,70,191,0.0143,0.0471,0.0328,86.3143,46.9319,39.3824,0.1257,0.3843,0.2755,53.5099
train-fasttext,mini-swe-agent,openhands,75,69,0.0,0.0,0.0,47.0933,78.1014,31.0081,0.2017,0.551,0.7191,53.4211
caffe-cifar-10,judy,terminus-3-3,5,10,0.0,0.0,0.0,11.8,41.0,29.2,0.1724,0.5097,1.4328,53.4165
log-summary-date-ranges,claude-code,judy,35,5,1.0,1.0,0.0,5.8286,25.6,19.7714,0.4624,0.7139,0.8394,53.3759
cobol-modernization,openhands,terminus-2,70,203,0.7,0.7734,0.0734,92.7286,52.7094,40.0192,0.1535,0.3322,0.2393,53.3582
gpt2-codegolf,mini-swe-agent,openhands,75,70,0.0,0.0,0.0,12.6133,43.9143,31.301,0.2849,0.4824,0.5743,53.355
fix-code-vulnerability,claude-code,codex,35,40,0.8,0.85,0.05,39.8286,11.2,28.6286,0.4906,0.447,0.2103,53.1201
caffe-cifar-10,gemini-cli,openhands,18,70,0.0556,0.0,0.0556,11.4444,46.6571,35.2127,0.3117,0.3557,0.2088,52.9417
filter-js-from-html,openhands,terminus-2,70,195,0.0,0.0,0.0,55.4286,18.3026,37.126,0.1571,0.3835,0.4513,52.8975
make-doom-for-mips,gemini-cli,mini-swe-agent,20,75,0.0,0.0,0.0,19.0,45.5467,26.5467,0.6032,0.386,0.3204,52.8787
train-fasttext,gemini-cli,mini-swe-agent,20,75,0.0,0.0,0.0,2.75,47.0933,44.3433,0.2239,0.0293,0.4305,52.8258
raman-fitting,codex,openhands,40,70,0.0,0.0,0.0,10.175,42.5714,32.3964,0.2298,0.5297,0.2879,52.8234
regex-chess,gemini-cli,mini-swe-agent,20,75,0.0,0.0,0.0,3.25,25.0133,21.7633,0.9524,0.1075,0.9088,52.8048
filter-js-from-html,judy,openhands,5,70,0.0,0.0,0.0,12.6,55.4286,42.8286,0.3496,0.0466,0.0086,52.7766
polyglot-rust-c,claude-code,mini-swe-agent,35,75,0.0286,0.0,0.0286,46.1429,21.48,24.6629,0.5853,0.4823,0.2683,52.6944
winning-avg-corewars,judy,terminus-3-3,5,10,1.0,1.0,0.0,14.0,43.7,29.7,0.4052,0.4658,0.2299,52.6245
chess-best-move,claude-code,terminus-2,32,205,0.0,0.039,0.039,2.0938,27.3073,25.2135,0.823,0.1198,0.7602,52.5845
break-filter-js-from-html,openhands,terminus-2,70,203,0.1714,0.1675,0.0039,95.3,56.6502,38.6498,0.1564,0.3523,0.2341,52.5378
crack-7z-hash,codex,terminus-3-3,40,10,0.8,0.8,0.0,9.525,52.0,42.475,0.0014,0.3141,0.4142,52.4335
gpt2-codegolf,codex,terminus-3-3,40,10,0.0,0.0,0.0,0.875,36.7,35.825,0.3417,0.0204,1.5106,52.4305
make-doom-for-mips,codex,terminus-2,40,195,0.0,0.0,0.0,21.15,68.8872,47.7372,0.0089,0.151,0.1363,52.4162
mteb-leaderboard,claude-code,gemini-cli,35,20,0.0,0.1,0.1,35.2571,6.45,28.8071,0.2999,0.5042,0.6876,52.3476
chess-best-move,gemini-cli,terminus-2,20,205,0.0,0.039,0.039,0.7,27.3073,26.6073,0.7603,0.1081,0.8013,52.3238
make-doom-for-mips,deepagent-harbor,mini-swe-agent,5,75,0.0,0.0,0.0,9.6,45.5467,35.9467,0.3191,0.3315,0.0175,52.2992
sam-cell-seg,openhands,terminus-2,70,193,0.0,0.0155,0.0155,87.8857,45.7979,42.0878,0.0627,0.3022,0.155,51.9853
caffe-cifar-10,deepagent-harbor,terminus-3-3,5,10,0.0,0.0,0.0,3.4,41.0,37.6,0.25,0.1443,0.8959,51.937
mteb-leaderboard,mini-swe-agent,openhands,75,70,0.0,0.0143,0.0143,16.16,51.0,34.84,0.2057,0.4444,0.1531,51.858
model-extraction-relu-logits,codex,openhands,40,69,0.15,0.1739,0.0239,5.125,36.9565,31.8315,0.2707,0.4547,0.3573,51.753
torch-pipeline-parallelism,gemini-cli,openhands,20,69,0.0,0.0,0.0,0.4,25.2899,24.8899,0.2326,0.557,1.3454,51.3569
qemu-alpine-ssh,openhands,terminus-2,69,194,0.2029,0.2629,0.06,87.4783,45.8608,41.6175,0.0413,0.2243,0.5915,51.215
adaptive-rejection-sampler,mini-swe-agent,openhands,75,70,0.2533,0.1857,0.0676,13.12,42.2429,29.1229,0.2383,0.5613,0.4193,51.2094
crack-7z-hash,deepagent-harbor,terminus-3-3,5,10,0.8,0.8,0.0,16.2,52.0,35.8,0.2871,0.2851,0.2173,51.1915
polyglot-rust-c,claude-code,openhands,35,69,0.0286,0.0725,0.0439,46.1429,87.1884,41.0455,0.2626,0.0956,0.2114,51.0575
protein-assembly,claude-code,mini-swe-agent,35,75,0.0571,0.04,0.0171,41.8571,14.3467,27.5104,0.2423,0.6533,0.222,51.0104
extract-elf,mini-swe-agent,openhands,75,70,0.3333,0.2429,0.0904,10.1733,42.0429,31.8696,0.2294,0.4515,0.4151,50.9676
qemu-alpine-ssh,codex,terminus-2,40,194,0.175,0.2629,0.0879,4.85,45.8608,41.0108,0.0572,0.3047,0.165,50.8833
overfull-hbox,openhands,terminus-2,68,191,0.1029,0.199,0.0961,72.8971,43.3403,29.5568,0.2533,0.535,0.3136,50.8323
fix-code-vulnerability,deepagent-harbor,terminus-3-3,5,10,1.0,1.0,0.0,40.4,13.4,27.0,0.0744,0.5399,1.681,50.7625
polyglot-rust-c,codex,terminus-2,40,187,0.025,0.0107,0.0143,1.275,36.9786,35.7036,0.0106,0.3099,1.3941,50.6866
install-windows-3.11,claude-code,codex,35,40,0.0,0.0,0.0,45.2857,8.875,36.4107,0.2651,0.0909,1.0743,50.6822
git-leak-recovery,codex,openhands,40,70,0.85,0.9286,0.0786,6.0,39.6714,33.6714,0.1848,0.3789,0.583,50.6789
feal-differential-cryptanalysis,openhands,terminus-2,70,195,0.1286,0.2,0.0714,67.0714,34.2256,32.8458,0.2103,0.4627,0.1962,50.6518
sanitize-git-repo,gemini-cli,terminus-2,20,194,0.15,0.0619,0.0881,10.4,39.5052,29.1052,0.3262,0.4329,0.5098,50.6317
make-mips-interpreter,claude-code,openhands,35,69,0.0857,0.0,0.0857,69.6,104.9855,35.3855,0.2619,0.3092,0.1545,50.4355
fix-ocaml-gc,openhands,terminus-2,70,188,0.3571,0.3351,0.022,149.3,112.7766,36.5234,0.2242,0.3187,0.0116,50.1539
raman-fitting,mini-swe-agent,openhands,75,70,0.0,0.0,0.0,12.56,42.5714,30.0114,0.2531,0.4769,0.3433,49.9779
caffe-cifar-10,gemini-cli,terminus-2,18,203,0.0556,0.0,0.0556,11.4444,47.3251,35.8807,0.4869,0.0303,0.2218,49.9197
cobol-modernization,claude-code,codex,35,40,0.9429,0.925,0.0179,44.7714,3.725,41.0464,0.1663,0.1516,0.1827,49.9074
modernize-scientific-stack,codex,openhands,40,70,0.95,0.9286,0.0214,2.35,29.7429,27.3929,0.1908,0.6791,0.1347,49.8139
sam-cell-seg,openhands,terminus-3-3,70,10,0.0,0.0,0.0,87.8857,42.1,45.7857,0.09,0.0356,0.16,49.7257
polyglot-rust-c,gemini-cli,mini-swe-agent,20,75,0.1,0.0,0.1,0.95,21.48,20.53,0.96,0.0287,0.8575,49.535
dna-insert,gemini-cli,openhands,20,69,0.0,0.0145,0.0145,6.9,45.913,39.013,0.1256,0.2422,0.2629,49.5225
caffe-cifar-10,judy,openhands,5,70,0.0,0.0,0.0,11.8,46.6571,34.8571,0.009,0.2369,1.702,49.5146
cobol-modernization,claude-code,judy,35,5,0.9429,1.0,0.0571,44.7714,20.6,24.1714,0.0484,0.7378,1.1335,49.4939
sam-cell-seg,deepagent-harbor,gemini-cli,5,20,0.0,0.1,0.1,41.2,4.05,37.15,0.1349,0.1873,0.8322,49.366
dna-insert,mini-swe-agent,openhands,75,69,0.0133,0.0145,0.0012,18.3067,45.913,27.6063,0.2191,0.5983,0.2618,49.3503
merge-diff-arc-agi-task,claude-code,openhands,35,69,0.6571,0.5942,0.0629,29.4,61.5652,32.1652,0.2849,0.3467,0.2638,49.2742
cobol-modernization,codex,judy,40,5,0.925,1.0,0.075,3.725,20.6,16.875,0.2147,0.8894,0.9508,49.2315
build-pov-ray,openhands,terminus-2,70,200,0.4,0.41,0.01,153.1857,114.85,38.3357,0.0891,0.3176,0.1101,49.0537
dna-assembly,deepagent-harbor,openhands,4,69,0.0,0.0,0.0,28.75,58.5507,29.8007,0.0474,0.5351,0.9206,48.9662
db-wal-recovery,mini-swe-agent,terminus-3-3,75,10,0.0267,0.1,0.0733,25.9733,71.5,45.5267,0.0103,0.0041,0.5776,48.7747
custom-memory-heap-crash,gemini-cli,terminus-2,20,201,0.6,0.6567,0.0567,7.85,45.9552,38.1052,0.3546,0.0337,0.1728,48.6767
adaptive-rejection-sampler,judy,openhands,5,70,0.2,0.1857,0.0143,2.0,42.2429,40.2429,0.095,0.0497,0.9615,48.6679
regex-chess,claude-code,mini-swe-agent,35,75,0.0857,0.0,0.0857,52.4571,25.0133,27.4438,0.499,0.2574,0.4317,48.5123
log-summary-date-ranges,deepagent-harbor,judy,5,5,1.0,1.0,0.0,6.8,25.6,18.8,0.3925,0.775,0.0743,48.359
polyglot-c-py,judy,terminus-3-3,5,10,0.8,0.9,0.1,4.2,25.7,21.5,0.297,0.4987,1.3797,48.291
adaptive-rejection-sampler,gemini-cli,terminus-2,19,205,0.3158,0.2634,0.0524,4.6316,34.2098,29.5782,0.6213,0.0806,0.2236,48.2437
sam-cell-seg,deepagent-harbor,judy,5,5,0.0,0.0,0.0,41.2,16.2,25.0,0.0952,0.6214,1.0374,48.102
git-leak-recovery,gemini-cli,openhands,20,70,0.95,0.9286,0.0214,5.9,39.6714,33.7714,0.0523,0.4131,0.5134,47.9734
mteb-leaderboard,mini-swe-agent,terminus-2,75,194,0.0,0.0155,0.0155,16.16,53.5979,37.4379,0.1393,0.1831,0.4691,47.8434
git-leak-recovery,deepagent-harbor,openhands,5,70,1.0,0.9286,0.0714,5.2,39.6714,34.4714,0.1822,0.3074,0.2243,47.8329
install-windows-3.11,claude-code,deepagent-harbor,35,5,0.0,0.0,0.0,45.2857,82.6,37.3143,0.1105,0.2092,0.5046,47.8298
regex-chess,claude-code,openhands,35,70,0.0857,0.0143,0.0714,52.4571,86.3143,33.8572,0.2611,0.278,0.0731,47.7002
build-pov-ray,judy,terminus-3-3,5,10,0.8,0.9,0.1,34.0,48.8,14.8,0.1358,0.7536,2.1142,47.606
configure-git-webserver,codex,terminus-3-3,40,10,0.425,0.4,0.025,3.65,35.7,32.05,0.2095,0.158,1.2577,47.526
polyglot-c-py,openhands,terminus-2,69,191,0.029,0.0314,0.0024,65.8841,32.0366,33.8475,0.1823,0.3181,0.2166,47.4405
gpt2-codegolf,judy,terminus-3-3,5,10,0.0,0.0,0.0,20.6,36.7,16.1,0.1268,0.8011,1.6107,47.351
filter-js-from-html,openhands,terminus-3-3,70,10,0.0,0.0,0.0,55.4286,27.5,27.9286,0.1783,0.4662,0.6164,47.1231
dna-assembly,claude-code,openhands,35,69,0.0571,0.0,0.0571,29.9143,58.5507,28.6364,0.2819,0.4404,0.0477,46.9324
install-windows-3.11,claude-code,gemini-cli,35,20,0.0,0.05,0.05,45.2857,7.95,37.3357,0.199,0.0741,0.5477,46.9017
build-pov-ray,claude-code,judy,32,5,0.8125,0.8,0.0125,49.6562,34.0,15.6562,0.2332,0.633,1.8867,46.7447
db-wal-recovery,gemini-cli,terminus-2,20,202,0.0,0.0495,0.0495,17.55,51.8069,34.2569,0.3418,0.0855,0.3607,46.7429
filter-js-from-html,claude-code,terminus-3-3,35,10,0.0,0.0,0.0,5.0286,27.5,22.4714,0.5974,0.0839,1.4208,46.6079
make-mips-interpreter,gemini-cli,mini-swe-agent,20,75,0.05,0.0133,0.0367,10.65,26.2667,15.6167,0.7955,0.4284,0.0345,46.3867
video-processing,claude-code,openhands,35,70,0.0286,0.0,0.0286,21.8571,52.9714,31.1143,0.3114,0.2729,0.1039,46.2413
mteb-leaderboard,mini-swe-agent,terminus-3-3,75,10,0.0,0.1,0.1,16.16,46.4,30.24,0.0342,0.4885,0.5411,46.013
install-windows-3.11,claude-code,mini-swe-agent,35,75,0.0,0.0,0.0,45.2857,15.5067,29.779,0.4249,0.0938,0.6494,45.9935
sam-cell-seg,judy,terminus-3-3,5,10,0.0,0.0,0.0,16.2,42.1,25.9,0.3278,0.3099,0.7877,45.781
distribution-search,gemini-cli,mini-swe-agent,20,75,0.45,0.44,0.01,5.45,13.8267,8.3767,0.9167,0.5428,0.1668,45.6982
write-compressor,claude-code,codex,35,40,0.0857,0.075,0.0107,28.4571,4.175,24.2821,0.5543,0.1975,0.5208,45.6811
portfolio-optimization,codex,deepagent-harbor,40,5,0.975,1.0,0.025,5.1,25.6,20.5,0.458,0.4947,0.2543,45.589
dna-assembly,openhands,terminus-2,69,205,0.0,0.0341,0.0341,58.5507,26.5415,32.0092,0.0728,0.4603,0.0281,45.4772
torch-tensor-parallelism,mini-swe-agent,openhands,74,69,0.0,0.029,0.029,10.0946,35.2899,25.1953,0.242,0.5441,0.1238,45.4668
path-tracing-reverse,mini-swe-agent,terminus-2,75,187,0.0,0.0481,0.0481,29.64,69.2086,39.5686,0.0436,0.1037,0.4006,45.2541
reshard-c4-data,gemini-cli,terminus-2,20,195,0.5,0.4462,0.0538,9.05,41.9231,32.8731,0.3538,0.0273,0.5705,45.2531
mteb-retrieve,openhands,terminus-2,69,195,0.029,0.0051,0.0239,43.7101,8.9487,34.7614,0.0333,0.3432,0.2121,45.2344
regex-chess,judy,mini-swe-agent,5,75,0.0,0.0,0.0,1.6,25.0133,23.4133,0.2857,0.5213,0.3107,45.1418
modernize-scientific-stack,gemini-cli,openhands,20,70,1.0,0.9286,0.0714,3.15,29.7429,26.5929,0.1899,0.5432,0.0399,45.1199
gpt2-codegolf,codex,judy,40,5,0.0,0.0,0.0,0.875,20.6,19.725,0.2149,0.7807,0.1001,45.1155
video-processing,openhands,terminus-2,70,195,0.0,0.0154,0.0154,52.9714,17.6923,35.2791,0.1033,0.2693,0.0858,45.0231
adaptive-rejection-sampler,claude-code,judy,32,5,0.1875,0.2,0.0125,27.4062,2.0,25.4062,0.3085,0.2098,1.3109,44.9182
gpt2-codegolf,gemini-cli,judy,20,5,0.0,0.0,0.0,1.95,20.6,18.65,0.3825,0.6479,0.0876,44.848
raman-fitting,deepagent-harbor,gemini-cli,5,20,0.0,0.0,0.0,24.8,5.3,19.5,0.6432,0.3115,0.2877,44.806
torch-pipeline-parallelism,claude-code,gemini-cli,35,20,0.0857,0.0,0.0857,9.5714,0.4,9.1714,0.6651,0.4425,1.5625,44.6739
tune-mjcf,codex,gemini-cli,40,20,0.5,0.5,0.0,8.775,14.55,5.775,0.8467,0.5992,0.5219,44.532
cancel-async-tasks,codex,openhands,37,70,0.3243,0.4,0.0757,0.4865,22.1714,21.6849,0.1755,0.4531,1.4095,44.4474
feal-linear-cryptanalysis,mini-swe-agent,terminus-2,75,191,0.1467,0.1832,0.0365,21.76,57.8586,36.0986,0.0375,0.213,0.382,44.2711
caffe-cifar-10,gemini-cli,terminus-3-3,18,10,0.0556,0.0,0.0556,11.4444,41.0,29.5556,0.4931,0.0829,0.0604,44.2576
adaptive-rejection-sampler,claude-code,mini-swe-agent,32,75,0.1875,0.2533,0.0658,27.4062,13.12,14.2862,0.6418,0.4012,0.7687,44.2047
train-fasttext,codex,mini-swe-agent,40,75,0.0,0.0,0.0,7.225,47.0933,39.8683,0.0847,0.0359,0.2498,44.1323
sqlite-with-gcov,mini-swe-agent,openhands,75,70,0.4533,0.5429,0.0896,8.2133,36.3,28.0867,0.1297,0.4494,0.3107,44.1177
chess-best-move,claude-code,mini-swe-agent,32,75,0.0,0.0,0.0,2.0938,19.1067,17.0129,0.9427,0.0624,0.3929,44.1049
train-fasttext,claude-code,mini-swe-agent,35,75,0.0,0.0,0.0,20.3714,47.0933,26.7219,0.3794,0.193,0.6104,44.0839
qemu-alpine-ssh,claude-code,terminus-2,35,194,0.1714,0.2629,0.0915,15.4857,45.8608,30.3751,0.244,0.2158,0.4405,44.0726
torch-pipeline-parallelism,codex,openhands,40,69,0.0,0.0,0.0,0.75,25.2899,24.5399,0.179,0.5445,0.2701,43.9779
filter-js-from-html,judy,terminus-3-3,5,10,0.0,0.0,0.0,12.6,27.5,14.9,0.5279,0.5128,0.6078,43.9565
filter-js-from-html,gemini-cli,terminus-3-3,20,10,0.0,0.0,0.0,9.4,27.5,18.1,0.6469,0.1954,0.9575,43.945
fix-git,claude-code,openhands,35,69,0.8,0.8841,0.0841,7.8286,33.1594,25.3308,0.1712,0.4681,0.5177,43.9018
chess-best-move,gemini-cli,mini-swe-agent,20,75,0.0,0.0,0.0,0.7,19.1067,18.4067,0.88,0.0507,0.434,43.8442
sparql-university,mini-swe-agent,openhands,75,70,0.1467,0.2143,0.0676,8.16,31.7,23.54,0.2771,0.5305,0.0134,43.797
modernize-scientific-stack,claude-code,openhands,35,70,1.0,0.9286,0.0714,8.5429,29.7429,21.2,0.4112,0.4824,0.0422,43.751
caffe-cifar-10,mini-swe-agent,openhands,75,70,0.0,0.0,0.0,25.3067,46.6571,21.3504,0.1814,0.5482,0.8139,43.6599
rstan-to-pystan,openhands,terminus-2,70,192,0.3286,0.2292,0.0994,85.2429,53.2344,32.0085,0.1648,0.2687,0.1002,43.347
torch-tensor-parallelism,deepagent-harbor,openhands,5,69,0.0,0.029,0.029,13.4,35.2899,21.8899,0.2946,0.4089,0.7556,43.2554
train-fasttext,mini-swe-agent,terminus-2,75,195,0.0,0.0462,0.0462,47.0933,77.2513,30.158,0.019,0.4733,0.1449,43.19
prove-plus-comm,gemini-cli,openhands,20,70,0.9,0.8286,0.0714,3.9,26.8571,22.9571,0.583,0.1468,0.3823,43.1136
make-mips-interpreter,openhands,terminus-2,69,186,0.0,0.0215,0.0215,104.9855,79.2527,25.7328,0.2108,0.4672,0.0684,43.0248
pypi-server,deepagent-harbor,judy,5,5,1.0,1.0,0.0,26.4,6.6,19.8,0.1179,0.5885,1.1061,42.9905
feal-differential-cryptanalysis,codex,terminus-2,40,195,0.25,0.2,0.05,1.7,34.2256,32.5256,0.1068,0.2728,0.1368,42.6996
cobol-modernization,judy,terminus-3-3,5,10,1.0,1.0,0.0,20.6,33.7,13.1,0.2261,0.7169,1.2006,42.678
log-summary-date-ranges,judy,terminus-3-3,5,10,1.0,1.0,0.0,25.6,13.4,12.2,0.2262,0.7158,1.3529,42.5145
filter-js-from-html,codex,judy,40,5,0.0,0.0,0.0,0.95,12.6,11.65,0.3917,0.6508,0.9603,42.514
fix-git,gemini-cli,openhands,20,69,0.9,0.8841,0.0159,6.55,33.1594,26.6094,0.2402,0.3698,0.1281,42.4999
fix-git,codex,openhands,40,69,0.85,0.8841,0.0341,3.5,33.1594,29.6594,0.0259,0.4352,0.2348,42.3609
dna-insert,claude-code,openhands,35,69,0.0,0.0145,0.0145,23.3714,45.913,22.5416,0.2627,0.5028,0.1223,42.2906
merge-diff-arc-agi-task,claude-code,codex,35,40,0.6571,0.725,0.0679,29.4,5.975,23.425,0.423,0.1566,0.8722,42.276
gpt2-codegolf,judy,openhands,5,70,0.0,0.0,0.0,20.6,43.9143,23.3143,0.1581,0.3166,1.4178,42.2708
