agent,model_a,model_b,runs_a,runs_b,success_a,success_b,success_gap,mean_tool_calls_a,mean_tool_calls_b,tool_call_gap,switch_rate_gap,repeat_rate_gap,process_gap_score
openhands,claude-sonnet-4-5-20250929@anthropic,gemini-2.5-pro@gemini,443,445,0.4244,0.164,0.2604,94.1287,67.4315,26.6972,0.0358,0.0079,27.7897
terminus-2,claude-haiku-4-5-20251001@anthropic,grok-code-fast-1@xai,439,445,0.2847,0.1416,0.1431,46.5353,23.209,23.3263,0.1099,0.0634,27.6588
terminus-2,gpt-5-mini@openai,gpt-5.1@openai,438,445,0.2443,0.4764,0.2321,62.9155,38.0944,24.8211,0.0553,0.0554,27.5886
terminus-2,deepseek-v3.2@deepseek,glm-5@z-ai,445,442,0.3955,0.5226,0.1271,60.4247,34.7489,25.6758,0.0317,0.0425,27.5308
terminus-2,claude-sonnet-4-5-20250929@anthropic,grok-code-fast-1@xai,440,445,0.4318,0.1416,0.2902,45.2409,23.209,22.0319,0.1279,0.0893,27.4619
terminus-2,deepseek-v3.2@deepseek,minimax-m2.5@Minimax,445,445,0.3955,0.4225,0.027,60.4247,33.8584,26.5663,0.0179,0.0145,27.3763
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,openai/gpt-oss-120b@together_ai,444,887,0.2973,0.1421,0.1552,38.3671,11.5806,26.7865,0.0,0.0169,27.209
terminus-2,claude-opus-4-6@anthropic,openai/gpt-oss-20b@together_ai,445,932,0.6292,0.03,0.5992,31.3438,12.2275,19.1163,0.2021,0.1216,27.2088
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,gpt-5.1-codex@openai,904,445,0.2478,0.3685,0.1207,57.5243,31.2067,26.3176,0.0104,0.0175,27.0151
terminus-2,minimax-m2.1@openai,openai/gpt-oss-120b@together_ai,438,925,0.2968,0.1924,0.1044,51.0685,29.6605,21.408,0.1285,0.0921,26.923
openhands,gpt-5-nano@openai,grok-4-0709@xai,444,444,0.0991,0.2725,0.1734,60.4414,38.1486,22.2928,0.0761,0.1077,26.8878
terminus-2,grok-4-0709@xai,minimax-m2.1@openai,436,438,0.2362,0.2968,0.0606,26.6537,51.0685,24.4148,0.0862,0.0113,26.8523
terminus-2,gpt-5-codex@openai,openai/gpt-oss-20b@together_ai,437,932,0.4416,0.03,0.4116,31.7941,12.2275,19.5666,0.2133,0.0703,26.6566
terminus-2,gemini-2.5-flash@gemini,minimax-m2.1@openai,439,438,0.1708,0.2968,0.126,73.8223,51.0685,22.7538,0.0418,0.1119,26.5963
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,gpt-5-codex@openai,904,437,0.2478,0.4416,0.1938,57.5243,31.7941,25.7302,0.0128,0.0206,26.5652
terminus-2,glm-5@z-ai,moonshotai/Kimi-K2-Thinking@together_ai,442,892,0.5226,0.3587,0.1639,34.7489,60.7377,25.9888,0.0172,0.0036,26.5088
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,grok-code-fast-1@xai,929,445,0.2411,0.1416,0.0995,44.9709,23.209,21.7619,0.1265,0.0526,26.2394
terminus-2,gpt-5@openai,grok-code-fast-1@xai,438,445,0.3562,0.1416,0.2146,46.3562,23.209,23.1472,0.0906,0.0297,26.1547
terminus-2,gpt-5.1-codex@openai,openai/gpt-oss-20b@together_ai,445,932,0.3685,0.03,0.3385,31.2067,12.2275,18.9792,0.2157,0.0672,26.0517
terminus-2,claude-opus-4-5-20251101@anthropic,grok-code-fast-1@xai,445,445,0.5775,0.1416,0.4359,44.5978,23.209,21.3888,0.0935,0.0894,25.9613
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,minimax-m2.5@Minimax,904,445,0.2478,0.4225,0.1747,57.5243,33.8584,23.6659,0.0123,0.0781,25.9259
openhands,claude-opus-4-1-20250805@anthropic,gpt-5-nano@openai,445,444,0.3685,0.0991,0.2694,79.2652,60.4414,18.8238,0.1177,0.1573,25.6988
terminus-2,claude-opus-4-1-20250805@anthropic,grok-code-fast-1@xai,443,445,0.3815,0.1416,0.2399,43.921,23.209,20.712,0.1234,0.0733,25.6295
mini-swe-agent,claude-opus-4-1-20250805@anthropic,openai/gpt-oss-20b@together_ai,444,888,0.3514,0.0338,0.3176,29.4212,5.0676,24.3536,0.0,0.0371,25.2811
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,gemini-3-flash-preview@gemini,904,445,0.2478,0.5169,0.2691,57.5243,34.7506,22.7737,0.0697,0.0228,25.0862
terminus-2,deepseek-v3.2@deepseek,gpt-5.1@openai,445,445,0.3955,0.4764,0.0809,60.4247,38.0944,22.3303,0.0601,0.0459,24.9803
terminus-2,gemini-3-pro-preview@gemini,openai/gpt-oss-20b@together_ai,445,932,0.5685,0.03,0.5385,30.209,12.2275,17.9815,0.1839,0.0872,24.759
terminus-2,grok-code-fast-1@xai,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,923,0.1416,0.2795,0.1379,23.209,42.5255,19.3165,0.1182,0.0707,24.039
terminus-2,gpt-5-mini@openai,moonshotai/Kimi-K2-Instruct-0905@together_ai,438,923,0.2443,0.2795,0.0352,62.9155,42.5255,20.39,0.0797,0.0609,23.905
terminus-2,gpt-5.1@openai,moonshotai/Kimi-K2-Thinking@together_ai,445,892,0.4764,0.3587,0.1177,38.0944,60.7377,22.6433,0.0456,0.0002,23.7883
terminus-2,gpt-5.2@openai,openai/gpt-oss-120b@together_ai,444,925,0.5405,0.1924,0.3481,47.5766,29.6605,17.9161,0.1158,0.1172,23.7411
terminus-2,gpt-5.2@openai,grok-4-0709@xai,444,436,0.5405,0.2362,0.3043,47.5766,26.6537,20.9229,0.0735,0.0364,23.6704
openhands,gemini-2.5-flash@gemini,gpt-5-nano@openai,445,444,0.164,0.0991,0.0649,78.7034,60.4414,18.262,0.0833,0.1304,23.6045
terminus-2,gemini-2.5-pro@gemini,minimax-m2.1@openai,442,438,0.3281,0.2968,0.0313,30.6086,51.0685,20.4599,0.0547,0.0665,23.4899
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,glm-5@z-ai,904,442,0.2478,0.5226,0.2748,57.5243,34.7489,22.7754,0.0015,0.0211,23.3404
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,grok-4-0709@xai,902,436,0.306,0.2362,0.0698,47.1419,26.6537,20.4882,0.0948,0.0078,23.0532
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gemini-2.5-flash@gemini,878,445,0.2574,0.164,0.0934,100.3622,78.7034,21.6588,0.0147,0.0388,22.9963
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,openai/gpt-oss-120b@together_ai,902,925,0.306,0.1924,0.1136,47.1419,29.6605,17.4814,0.1371,0.073,22.7339
terminus-2,claude-opus-4-1-20250805@anthropic,gpt-5-mini@openai,443,438,0.3815,0.2443,0.1372,43.921,62.9155,18.9945,0.0849,0.0635,22.7045
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,claude-opus-4-1-20250805@anthropic,878,445,0.2574,0.3685,0.1111,100.3622,79.2652,21.097,0.0491,0.0119,22.622
terminus-2,gemini-2.5-pro@gemini,openai/gpt-oss-20b@together_ai,442,932,0.3281,0.03,0.2981,30.6086,12.2275,18.3811,0.1652,0.0037,22.6036
terminus-2,gemini-3-pro-preview@gemini,minimax-m2.1@openai,445,438,0.5685,0.2968,0.2717,30.209,51.0685,20.8595,0.036,0.017,22.1845
mini-swe-agent,claude-opus-4-1-20250805@anthropic,gpt-5@openai,444,445,0.3514,0.3393,0.0121,29.4212,8.8045,20.6167,0.0,0.0621,22.1692
mini-swe-agent,claude-opus-4-1-20250805@anthropic,gpt-5-nano@openai,444,445,0.3514,0.0697,0.2817,29.4212,7.9034,21.5178,0.0,0.0246,22.1328
terminus-2,claude-haiku-4-5-20251001@anthropic,openai/gpt-oss-120b@together_ai,439,925,0.2847,0.1924,0.0923,46.5353,29.6605,16.8748,0.1209,0.0875,22.0848
terminus-2,claude-haiku-4-5-20251001@anthropic,grok-4-0709@xai,439,436,0.2847,0.2362,0.0485,46.5353,26.6537,19.8816,0.0786,0.0067,22.0141
terminus-2,claude-sonnet-4-5-20250929@anthropic,gpt-5-mini@openai,440,438,0.4318,0.2443,0.1875,45.2409,62.9155,17.6746,0.0894,0.0795,21.8971
terminus-2,claude-sonnet-4-5-20250929@anthropic,openai/gpt-oss-120b@together_ai,440,925,0.4318,0.1924,0.2394,45.2409,29.6605,15.5804,0.1389,0.1134,21.8879
terminus-2,gpt-5@openai,grok-4-0709@xai,438,436,0.3562,0.2362,0.12,46.3562,26.6537,19.7025,0.0593,0.027,21.86
terminus-2,claude-sonnet-4-5-20250929@anthropic,grok-4-0709@xai,440,436,0.4318,0.2362,0.1956,45.2409,26.6537,18.5872,0.0966,0.0326,21.8172
mini-swe-agent,gemini-2.5-pro@gemini,openai/gpt-oss-20b@together_ai,444,888,0.2613,0.0338,0.2275,26.2027,5.0676,21.1351,0.0,0.0229,21.7076
terminus-2,claude-opus-4-5-20251101@anthropic,gpt-5-mini@openai,445,438,0.5775,0.2443,0.3332,44.5978,62.9155,18.3177,0.055,0.0796,21.6827
terminus-2,claude-opus-4-6@anthropic,minimax-m2.1@openai,445,438,0.6292,0.2968,0.3324,31.3438,51.0685,19.7247,0.0178,0.0514,21.4547
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gpt-5-mini@openai,929,438,0.2411,0.2443,0.0032,44.9709,62.9155,17.9446,0.088,0.0428,21.2146
mini-swe-agent,gemini-2.5-flash@gemini,gpt-5-codex@openai,445,444,0.1708,0.4144,0.2436,40.6831,22.3559,18.3272,0.0,0.1032,20.9072
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,grok-4-0709@xai,929,436,0.2411,0.2362,0.0049,44.9709,26.6537,18.3172,0.0952,0.0041,20.7997
mini-swe-agent,gemini-2.5-flash@gemini,grok-4-0709@xai,445,445,0.1708,0.2539,0.0831,40.6831,21.9933,18.6898,0.0,0.0803,20.6973
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openai/gpt-oss-120b@together_ai,929,925,0.2411,0.1924,0.0487,44.9709,29.6605,15.3104,0.1375,0.0767,20.6654
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,gpt-5.1@openai,904,445,0.2478,0.4764,0.2286,57.5243,38.0944,19.4299,0.0299,0.0177,20.6199
terminus-2,gpt-5@openai,openai/gpt-oss-120b@together_ai,438,925,0.3562,0.1924,0.1638,46.3562,29.6605,16.6957,0.1016,0.0538,20.5807
mini-swe-agent,gemini-2.5-pro@gemini,gpt-5@openai,444,445,0.2613,0.3393,0.078,26.2027,8.8045,17.3982,0.0,0.1221,20.4507
mini-swe-agent,gemini-2.5-pro@gemini,gpt-5-nano@openai,444,445,0.2613,0.0697,0.1916,26.2027,7.9034,18.2993,0.0,0.0846,20.4143
terminus-2,claude-opus-4-5-20251101@anthropic,openai/gpt-oss-120b@together_ai,445,925,0.5775,0.1924,0.3851,44.5978,29.6605,14.9373,0.1045,0.1135,20.3873
openhands,claude-haiku-4-5-20251001@anthropic,gpt-5-nano@openai,444,444,0.1396,0.0991,0.0405,42.759,60.4414,17.6824,0.034,0.0721,20.3349
terminus-2,claude-opus-4-5-20251101@anthropic,grok-4-0709@xai,445,436,0.5775,0.2362,0.3413,44.5978,26.6537,17.9441,0.0622,0.0327,20.3166
terminus-2,gemini-2.5-pro@gemini,gpt-5.2@openai,442,444,0.3281,0.5405,0.2124,30.6086,47.5766,16.968,0.042,0.0916,20.308
mini-swe-agent,claude-opus-4-1-20250805@anthropic,gpt-5-mini@openai,444,445,0.3514,0.2225,0.1289,29.4212,10.3034,19.1178,0.0,0.0474,20.3028
openhands,gpt-5-mini@openai,gpt-5-nano@openai,445,444,0.2921,0.0991,0.193,41.5213,60.4414,18.9201,0.0271,0.027,20.2726
terminus-2,openai/gpt-oss-120b@together_ai,openai/gpt-oss-20b@together_ai,925,932,0.1924,0.03,0.1624,29.6605,12.2275,17.433,0.0914,0.0219,20.2655
terminus-2,claude-opus-4-1-20250805@anthropic,openai/gpt-oss-120b@together_ai,443,925,0.3815,0.1924,0.1891,43.921,29.6605,14.2605,0.1344,0.0974,20.0555
terminus-2,gpt-5.1-codex@openai,minimax-m2.1@openai,445,438,0.3685,0.2968,0.0717,31.2067,51.0685,19.8618,0.0042,0.003,20.0418
terminus-2,claude-opus-4-1-20250805@anthropic,grok-4-0709@xai,443,436,0.3815,0.2362,0.1453,43.921,26.6537,17.2673,0.0921,0.0166,19.9848
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,grok-code-fast-1@xai,442,445,0.4253,0.2584,0.1669,41.1968,22.827,18.3698,0.0,0.0631,19.9473
terminus-2,deepseek-v3.2@deepseek,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,923,0.3955,0.2795,0.116,60.4247,42.5255,17.8992,0.0357,0.0404,19.8017
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,gemini-2.5-flash@gemini,904,439,0.2478,0.1708,0.077,57.5243,73.8223,16.298,0.048,0.0914,19.783
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,grok-4-0709@xai,442,445,0.4253,0.2539,0.1714,41.1968,21.9933,19.2035,0.0,0.0211,19.731
terminus-2,claude-haiku-4-5-20251001@anthropic,gpt-5-mini@openai,439,438,0.2847,0.2443,0.0404,46.5353,62.9155,16.3802,0.0714,0.0536,19.5052
openhands,gemini-2.5-flash@gemini,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,875,0.164,0.272,0.108,78.7034,96.3886,17.6852,0.0225,0.0487,19.4652
terminus-2,gpt-5-codex@openai,minimax-m2.1@openai,437,438,0.4416,0.2968,0.1448,31.7941,51.0685,19.2744,0.0066,0.0001,19.4419
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,gemini-2.5-pro@gemini,902,442,0.306,0.3281,0.0221,47.1419,30.6086,16.5333,0.0633,0.0474,19.3008
terminus-2,grok-4-0709@xai,openai/gpt-oss-20b@together_ai,436,932,0.2362,0.03,0.2062,26.6537,12.2275,14.4262,0.1337,0.0589,19.2412
terminus-2,deepseek-v3.2@deepseek,gemini-2.5-flash@gemini,445,439,0.3955,0.1708,0.2247,60.4247,73.8223,13.3976,0.0782,0.155,19.2276
terminus-2,minimax-m2.1@openai,minimax-m2.5@Minimax,438,445,0.2968,0.4225,0.1257,51.0685,33.8584,17.2101,0.0185,0.0576,19.1126
terminus-2,gpt-5-mini@openai,gpt-5.2@openai,438,444,0.2443,0.5405,0.2962,62.9155,47.5766,15.3389,0.0663,0.0833,19.0789
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,gemini-3-pro-preview@gemini,902,445,0.306,0.5685,0.2625,47.1419,30.209,16.9329,0.0446,0.0361,18.9504
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,gpt-5-mini@openai,902,438,0.306,0.2443,0.0617,47.1419,62.9155,15.7736,0.0876,0.0391,18.9411
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,gpt-5-codex@openai,442,444,0.4253,0.4144,0.0109,41.1968,22.3559,18.8409,0.0,0.0018,18.8859
terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,moonshotai/Kimi-K2-Thinking@together_ai,923,892,0.2795,0.3587,0.0792,42.5255,60.7377,18.2122,0.0212,0.0057,18.8847
terminus-2,gpt-5.1@openai,grok-code-fast-1@xai,445,445,0.4764,0.1416,0.3348,38.0944,23.209,14.8854,0.0938,0.0652,18.8604
mini-swe-agent,gemini-2.5-flash@gemini,grok-code-fast-1@xai,445,445,0.1708,0.2584,0.0876,40.6831,22.827,17.8561,0.0,0.0383,18.8136
terminus-2,claude-haiku-4-5-20251001@anthropic,gemini-2.5-pro@gemini,439,442,0.2847,0.3281,0.0434,46.5353,30.6086,15.9267,0.0471,0.0619,18.6517
mini-swe-agent,gemini-2.5-pro@gemini,gpt-5-mini@openai,444,445,0.2613,0.2225,0.0388,26.2027,10.3034,15.8993,0.0,0.1074,18.5843
terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,openai/gpt-oss-120b@together_ai,923,925,0.2795,0.1924,0.0871,42.5255,29.6605,12.865,0.1292,0.0948,18.465
terminus-2,claude-sonnet-4-5-20250929@anthropic,gemini-2.5-pro@gemini,440,442,0.4318,0.3281,0.1037,45.2409,30.6086,14.6323,0.0651,0.0878,18.4548
mini-swe-agent,grok-code-fast-1@xai,openai/gpt-oss-20b@together_ai,445,888,0.2584,0.0338,0.2246,22.827,5.0676,17.7594,0.0,0.0263,18.4169
terminus-2,grok-4-0709@xai,moonshotai/Kimi-K2-Instruct-0905@together_ai,436,923,0.2362,0.2795,0.0433,26.6537,42.5255,15.8718,0.0869,0.014,18.3943
terminus-2,gpt-5-mini@openai,gpt-5@openai,438,438,0.2443,0.3562,0.1119,62.9155,46.3562,16.5593,0.0521,0.0199,18.3593
mini-swe-agent,gpt-5-codex@openai,openai/gpt-oss-20b@together_ai,444,888,0.4144,0.0338,0.3806,22.3559,5.0676,17.2883,0.0,0.0386,18.2533
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,claude-opus-4-6@anthropic,902,445,0.306,0.6292,0.3232,47.1419,31.3438,15.7981,0.0264,0.0705,18.2206
terminus-2,claude-opus-4-1-20250805@anthropic,deepseek-v3.2@deepseek,443,445,0.3815,0.3955,0.014,43.921,60.4247,16.5037,0.0305,0.0378,18.2112
terminus-2,gemini-3-pro-preview@gemini,gpt-5.2@openai,445,444,0.5685,0.5405,0.028,30.209,47.5766,17.3676,0.0233,0.0081,18.1526
openhands,claude-opus-4-1-20250805@anthropic,moonshotai/Kimi-K2-Instruct-0905@together_ai,445,875,0.3685,0.272,0.0965,79.2652,96.3886,17.1234,0.0119,0.0218,17.9659
terminus-2,gemini-3-flash-preview@gemini,minimax-m2.1@openai,445,438,0.5169,0.2968,0.2201,34.7506,51.0685,16.3179,0.0635,0.0023,17.9629
mini-swe-agent,claude-opus-4-1-20250805@anthropic,openai/gpt-oss-120b@together_ai,444,887,0.3514,0.1421,0.2093,29.4212,11.5806,17.8406,0.0,0.0026,17.9056
terminus-2,claude-opus-4-5-20251101@anthropic,moonshotai/Kimi-K2-Thinking@together_ai,445,892,0.5775,0.3587,0.2188,44.5978,60.7377,16.1399,0.0459,0.0244,17.8974
terminus-2,claude-opus-4-5-20251101@anthropic,deepseek-v3.2@deepseek,445,445,0.5775,0.3955,0.182,44.5978,60.4247,15.8269,0.0604,0.0217,17.8794
terminus-2,gemini-3-pro-preview@gemini,gpt-5@openai,445,438,0.5685,0.3562,0.2123,30.209,46.3562,16.1472,0.0091,0.0553,17.7572
terminus-2,deepseek-v3.2@deepseek,gpt-5@openai,445,438,0.3955,0.3562,0.0393,60.4247,46.3562,14.0685,0.0633,0.0814,17.686
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,grok-code-fast-1@xai,444,445,0.2973,0.2584,0.0389,38.3671,22.827,15.5401,0.0,0.0829,17.6126
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,deepseek-v3.2@deepseek,929,445,0.2411,0.3955,0.1544,44.9709,60.4247,15.4538,0.0274,0.0585,17.6013
terminus-2,claude-haiku-4-5-20251001@anthropic,gemini-3-pro-preview@gemini,439,445,0.2847,0.5685,0.2838,46.5353,30.209,16.3263,0.0284,0.0216,17.5763
terminus-2,claude-opus-4-6@anthropic,gpt-5@openai,445,438,0.6292,0.3562,0.273,31.3438,46.3562,15.0124,0.0091,0.0897,17.4824
terminus-2,claude-opus-4-1-20250805@anthropic,moonshotai/Kimi-K2-Thinking@together_ai,443,892,0.3815,0.3587,0.0228,43.921,60.7377,16.8167,0.016,0.0083,17.4242
terminus-2,gemini-2.5-flash@gemini,moonshotai/Kimi-K2-Thinking@together_ai,439,892,0.1708,0.3587,0.1879,73.8223,60.7377,13.0846,0.0637,0.1089,17.3996
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,grok-4-0709@xai,444,445,0.2973,0.2539,0.0434,38.3671,21.9933,16.3738,0.0,0.0409,17.3963
mini-swe-agent,grok-4-0709@xai,openai/gpt-oss-20b@together_ai,445,888,0.2539,0.0338,0.2201,21.9933,5.0676,16.9257,0.0,0.0157,17.3182
terminus-2,gpt-5.1-codex@openai,gpt-5.2@openai,445,444,0.3685,0.5405,0.172,31.2067,47.5766,16.3699,0.0085,0.0281,17.2849
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gemini-2.5-pro@gemini,929,442,0.2411,0.3281,0.087,44.9709,30.6086,14.3623,0.0637,0.0511,17.2323
terminus-2,grok-code-fast-1@xai,minimax-m2.5@Minimax,445,445,0.1416,0.4225,0.2809,23.209,33.8584,10.6494,0.136,0.1256,17.1894
mini-swe-agent,gpt-5@openai,grok-code-fast-1@xai,445,445,0.3393,0.2584,0.0809,8.8045,22.827,14.0225,0.0,0.1255,17.16
terminus-2,gemini-2.5-pro@gemini,gpt-5@openai,442,438,0.3281,0.3562,0.0281,30.6086,46.3562,15.7476,0.0278,0.0282,17.1476
mini-swe-agent,gpt-5-nano@openai,grok-code-fast-1@xai,445,445,0.0697,0.2584,0.1887,7.9034,22.827,14.9236,0.0,0.088,17.1236
terminus-2,claude-opus-4-6@anthropic,gpt-5.2@openai,445,444,0.6292,0.5405,0.0887,31.3438,47.5766,16.2328,0.0051,0.0263,17.0178
terminus-2,claude-opus-4-5-20251101@anthropic,gemini-2.5-pro@gemini,445,442,0.5775,0.3281,0.2494,44.5978,30.6086,13.9892,0.0307,0.0879,16.9542
terminus-2,claude-haiku-4-5-20251001@anthropic,claude-opus-4-6@anthropic,439,445,0.2847,0.6292,0.3445,46.5353,31.3438,15.1915,0.0102,0.056,16.8465
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,gemini-3-pro-preview@gemini,929,445,0.2411,0.5685,0.3274,44.9709,30.209,14.7619,0.045,0.0324,16.6969
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,gpt-5.1-codex@openai,902,445,0.306,0.3685,0.0625,47.1419,31.2067,15.9352,0.0128,0.0161,16.6577
terminus-2,claude-opus-4-1-20250805@anthropic,gemini-2.5-pro@gemini,443,442,0.3815,0.3281,0.0534,43.921,30.6086,13.3124,0.0606,0.0718,16.6224
terminus-2,gpt-5.1-codex@openai,gpt-5@openai,445,438,0.3685,0.3562,0.0123,31.2067,46.3562,15.1495,0.0227,0.0353,16.5995
terminus-2,gpt-5-codex@openai,gpt-5.2@openai,437,444,0.4416,0.5405,0.0989,31.7941,47.5766,15.7825,0.0061,0.025,16.56
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,gemini-2.5-pro@gemini,442,444,0.4253,0.2613,0.164,41.1968,26.2027,14.9941,0.0,0.0597,16.4866
terminus-2,gpt-5@openai,moonshotai/Kimi-K2-Thinking@together_ai,438,892,0.3562,0.3587,0.0025,46.3562,60.7377,14.3815,0.0488,0.0353,16.484
openhands,claude-haiku-4-5-20251001@anthropic,claude-opus-4-5-20251101@anthropic,444,445,0.1396,0.5191,0.3795,42.759,37.9371,4.8219,0.3586,0.1074,16.4719
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,gpt-5-codex@openai,444,444,0.2973,0.4144,0.1171,38.3671,22.3559,16.0112,0.0,0.018,16.4612
terminus-2,glm-5@z-ai,minimax-m2.1@openai,442,438,0.5226,0.2968,0.2258,34.7489,51.0685,16.3196,0.0047,0.0006,16.4521
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,moonshotai/Kimi-K2-Thinking@together_ai,929,892,0.2411,0.3587,0.1176,44.9709,60.7377,15.7668,0.0129,0.0124,16.3993
terminus-2,claude-sonnet-4-5-20250929@anthropic,moonshotai/Kimi-K2-Thinking@together_ai,440,892,0.4318,0.3587,0.0731,45.2409,60.7377,15.4968,0.0115,0.0243,16.3918
terminus-2,claude-sonnet-4-5-20250929@anthropic,deepseek-v3.2@deepseek,440,445,0.4318,0.3955,0.0363,45.2409,60.4247,15.1838,0.026,0.0218,16.3788
terminus-2,glm-5@z-ai,grok-code-fast-1@xai,442,445,0.5226,0.1416,0.381,34.7489,23.209,11.5399,0.1222,0.0686,16.3099
terminus-2,claude-sonnet-4-5-20250929@anthropic,gemini-3-pro-preview@gemini,440,445,0.4318,0.5685,0.1367,45.2409,30.209,15.0319,0.0464,0.0043,16.2994
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,gpt-5-codex@openai,902,437,0.306,0.4416,0.1356,47.1419,31.7941,15.3478,0.0152,0.0192,16.2078
mini-swe-agent,gemini-2.5-pro@gemini,openai/gpt-oss-120b@together_ai,444,887,0.2613,0.1421,0.1192,26.2027,11.5806,14.6221,0.0,0.0626,16.1871
openhands,claude-opus-4-5-20251101@anthropic,gpt-5-mini@openai,445,445,0.5191,0.2921,0.227,37.9371,41.5213,3.5842,0.2975,0.2065,16.1842
terminus-2,claude-haiku-4-5-20251001@anthropic,deepseek-v3.2@deepseek,439,445,0.2847,0.3955,0.1108,46.5353,60.4247,13.8894,0.044,0.0477,16.1819
openhands,claude-sonnet-4-5-20250929@anthropic,gemini-2.5-flash@gemini,443,445,0.4244,0.164,0.2604,94.1287,78.7034,15.4253,0.0189,0.0081,16.1003
terminus-2,gpt-5@openai,minimax-m2.5@Minimax,438,445,0.3562,0.4225,0.0663,46.3562,33.8584,12.4978,0.0454,0.0959,16.0303
terminus-2,gpt-5-codex@openai,gpt-5@openai,437,438,0.4416,0.3562,0.0854,31.7941,46.3562,14.5621,0.0203,0.0384,16.0296
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,claude-opus-4-6@anthropic,929,445,0.2411,0.6292,0.3881,44.9709,31.3438,13.6271,0.0268,0.0668,15.9671
openhands,claude-opus-4-5-20251101@anthropic,gpt-5@openai,445,445,0.5191,0.4382,0.0809,37.9371,35.1079,2.8292,0.2599,0.2624,15.8867
openhands,claude-opus-4-1-20250805@anthropic,claude-sonnet-4-5-20250929@anthropic,445,443,0.3685,0.4244,0.0559,79.2652,94.1287,14.8635,0.0155,0.0188,15.721
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,moonshotai/Kimi-K2-Instruct-0905@together_ai,904,923,0.2478,0.2795,0.0317,57.5243,42.5255,14.9988,0.0055,0.0232,15.7163
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,deepseek-v3.2@deepseek,902,445,0.306,0.3955,0.0895,47.1419,60.4247,13.2828,0.0278,0.0622,15.5328
mini-swe-agent,gemini-2.5-flash@gemini,gemini-2.5-pro@gemini,445,444,0.1708,0.2613,0.0905,40.6831,26.2027,14.4804,0.0,0.0417,15.5229
terminus-2,claude-haiku-4-5-20251001@anthropic,gpt-5.1-codex@openai,439,445,0.2847,0.3685,0.0838,46.5353,31.2067,15.3286,0.0034,0.0016,15.4536
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,minimax-m2.5@Minimax,902,445,0.306,0.4225,0.1165,47.1419,33.8584,13.2835,0.0099,0.0767,15.4485
terminus-2,claude-opus-4-6@anthropic,claude-sonnet-4-5-20250929@anthropic,445,440,0.6292,0.4318,0.1974,31.3438,45.2409,13.8971,0.0282,0.0301,15.3546
terminus-2,gpt-5.2@openai,minimax-m2.5@Minimax,444,445,0.5405,0.4225,0.118,47.5766,33.8584,13.7182,0.0312,0.0325,15.3107
mini-swe-agent,gpt-5-mini@openai,grok-code-fast-1@xai,445,445,0.2225,0.2584,0.0359,10.3034,22.827,12.5236,0.0,0.1108,15.2936
